name,cp,appearances,avg_placement,best_placement,worst_placement,median_placement,placement_std,total_wins,total_losses,total_ties,win_rate,top8_finishes,top16_finishes,top32_finishes,top64_finishes,day2_appearances,day2_rate,top8_rate,top16_rate,placement_consistency
Rich Cornwall,546,1,51.0,51,51,51.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Grant S,1267,2,52.0,38,66,52.0,19.79898987322333,15,4,7,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.04807925798778345
Kim Pobega,1140,3,52.0,3,93,60.0,45.53020975132884,25,8,6,0.6410256410256411,1,1,1,2,3,1.0,0.3333333333333333,0.3333333333333333,0.021491413972649056
Yizhi Ren,510,1,52.0,52,52,52.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Matt Bridges,473,1,53.0,53,53,53.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Damian Gabriel Riquel,920,2,53.5,16,91,53.5,53.033008588991066,16,7,3,0.6153846153846154,0,1,1,1,2,1.0,0.0,0.5,0.01850720561586024
Dennis Peroff,775,1,54.0,54,54,54.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Piper Lepine,1045,2,54.0,51,57,54.0,4.242640687119285,16,8,2,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.1907435698305462
Ethan Wilde,965,2,54.0,21,87,54.0,46.66904755831214,16,7,3,0.6153846153846154,0,0,1,1,2,1.0,0.0,0.0,0.020977973154943562
Yerco Valencia,1475,2,54.0,47,61,54.0,9.899494936611665,16,7,3,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.09174737048053264
Owen Dalgard,1525,3,54.0,18,101,43.0,42.579337712087536,23,12,4,0.5897435897435898,0,0,1,2,3,1.0,0.0,0.0,0.022946654366494228
Kyle Lesniewicz,660,1,54.0,54,54,54.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Tiger Hickman,700,2,55.0,35,75,55.0,28.284271247461902,16,8,2,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.03414802408943918
Cameron Shenoy,832,1,55.0,55,55,55.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Vance Kelley,714,2,55.5,55,56,55.5,0.7071067811865476,16,8,2,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.585786437626905
HECTOR IBARRA,640,2,55.5,27,84,55.5,40.30508652763321,16,8,2,0.6153846153846154,0,0,1,1,2,1.0,0.0,0.0,0.02421009333392868
Alex Chandler,696,2,56.0,34,78,56.0,31.11269837220809,15,6,5,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.031140329237030088
Orlando Karam,717,2,56.0,25,87,56.0,43.840620433565945,16,8,2,0.6153846153846154,0,0,1,1,2,1.0,0.0,0.0,0.02230120793001871
Alex Schemanske,1105,1,56.0,56,56,56.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Matthew Houtput,927,3,56.333333333333336,25,84,60.0,29.670411748631555,24,11,4,0.6153846153846154,0,0,1,2,3,1.0,0.0,0.0,0.0326047138915446
Vaetna,586,2,56.5,25,88,56.5,44.54772721475249,16,8,2,0.6153846153846154,0,0,1,1,2,1.0,0.0,0.0,0.0219549922938001
Gabriel Massaroth,795,2,56.5,48,65,56.5,12.020815280171307,16,7,3,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.07680010648203002
Aaron Friedman,745,2,57.0,25,89,57.0,45.254833995939045,15,8,3,0.5769230769230769,0,0,1,1,2,1.0,0.0,0.0,0.021619361991176863
jonathan rodriguez,506,1,57.0,57,57,57.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Felipe Garibay,565,1,57.0,57,57,57.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Austin Ellis,759,3,57.666666666666664,45,74,54.0,14.843629385474879,23,10,6,0.5897435897435898,0,0,0,2,3,1.0,0.0,0.0,0.0631168513015572
Brandon Lane,403,1,58.0,58,58,58.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Paolo De La Cruz,540,1,58.0,58,58,58.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Saumit Kukkadapu,840,1,58.0,58,58,58.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
matthew wood,514,1,58.0,58,58,58.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Johnathan Starr,476,1,58.0,58,58,58.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Trevore Read,760,2,58.5,44,73,58.5,20.506096654409877,15,6,5,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.04649844256116777
Andres Lostaunau,1072,3,58.666666666666664,20,90,66.0,35.5715241918776,23,9,7,0.5897435897435898,0,0,1,1,3,1.0,0.0,0.0,0.027343678506626102
Victor Ghibu,372,1,59.0,59,59,59.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Carlos Sepúlveda,1070,1,59.0,59,59,59.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Adam Kalamat,725,1,59.0,59,59,59.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Hermanni Hietalahti,894,2,60.0,50,70,60.0,14.142135623730951,16,8,2,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.06604088253131131
yoshihiko1218,560,1,60.0,60,60,60.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Owen Rhoads,842,2,60.5,52,69,60.5,12.020815280171307,15,7,4,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.07680010648203002
Thomas Launay,865,1,61.0,61,61,61.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Justin Hoy,900,3,61.0,42,74,67.0,16.822603841260722,23,10,6,0.5897435897435898,0,0,0,1,3,1.0,0.0,0.0,0.056108524259789794
Simon Feng,822,2,61.5,52,71,61.5,13.435028842544403,15,7,4,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.06927592669941171
Kris Kemp,599,2,61.5,28,95,61.5,47.37615433949868,15,9,2,0.5769230769230769,0,0,1,1,2,1.0,0.0,0.0,0.0206713413592595
David Walerian Rzepka,874,2,61.5,60,63,61.5,2.1213203435596424,16,8,2,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.32037724101704074
Bortoni,719,2,62.0,61,63,62.0,1.4142135623730951,16,8,2,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.4142135623730951
Sheldon Kuppan,794,2,62.0,33,91,62.0,41.012193308819754,16,8,2,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.02380261350911348
Rose Gregson,847,1,62.0,62,62,62.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Justin K,635,3,62.333333333333336,24,83,80.0,33.231511150312336,23,12,4,0.5897435897435898,0,0,1,1,3,1.0,0.0,0.0,0.02921284998517735
